Gene_Symbol,SRR1758112,SRR1758113,SRR1758114,SRR1758115,SRR1758116,SRR1758117,SRR1758118,SRR1758119,SRR1758120,SRR1758121,SRR1758122,SRR1758123
AT1A2,2026,5124,103,71,2744.53,2401.15,402,18,2178.71,3666.42,80,32
AT1B1,0,0,0,0,1,1,0,0,0,0,0,0
AT1B2,417,900.1,0,8,404,505.13,1,6,380.99,431.05,0,23
AT2A3,63,232,72,3,117,618,41,0,732,247,42,4
AT2L2,1,3,8,3,2,3,5,4,4,5,0,5
AT5G3,1431,2341.22,2651.4,1042,1513.01,2295.07,2459.03,963.81,2391,1915.06,1148,889
AT5SL,122,228,222,178,153.9,196,226.36,243,234,160,103.07,193
AT7L2,18,30,53,16,27,40,47,21,43,28,27,10
AT7L3,579,1176,1843,1414,744,1287,1673.1,1416.64,1682.96,968.12,856,1170.61
AT8B1,2,2,3,14,1,7,0,6,5,1,1,9
ATAD2,10,40,47.36,35,17.78,33,47,34,22.01,12,16,49.66
ATF1,1428.04,2253,5767.48,1857.02,1853,2802.25,5524.19,1526.1,3791.55,2330.57,2720,1678.84
ATF2,936,1645.57,1027.9,321.35,1318.9,1896.23,959.95,283.99,2003.53,1499.4,617,281.99
ATF4,3697,6069,4513.03,841.99,5394.11,6263,4808.5,758,6146.98,6000.99,2579.03,706.98
ATG10,116.02,341.32,262.43,502.64,80,320,118,330,201,289.08,118,290.75
ATG11,0,1,2,0,0,1,3,0,3,14,2,1
ATG2A,6,23,22,13,9,19,10,14,11,23,4,17
ATG4D,178,406,259.05,216,287,261.55,246.04,189,303,329.9,107,288.08
ATG5,310.95,443,500,241.02,317,380,491.02,178,480.08,387.13,256,153
ATOH8,65.35,88,107,5,79,110.11,127,5,65,56,72.42,7
ATP4A,13,41,39,1217.51,46,1,81,507.99,31,37,14,462
